start_time,end_time,speaker
0.32,5.52,SPEAKER_00
5.92,9.12,SPEAKER_00
9.44,11.2,SPEAKER_00
11.44,15.84,SPEAKER_00
16.32,19.92,SPEAKER_00
20.0,23.28,SPEAKER_00
23.6,25.2,SPEAKER_00
25.44,27.6,SPEAKER_00
27.76,29.76,SPEAKER_00
29.84,35.04,SPEAKER_00
36.96,39.84,SPEAKER_01
40.24,43.52,SPEAKER_01
44.16,46.8,SPEAKER_01
46.88,49.28,SPEAKER_01
49.84,51.28,SPEAKER_01
51.84,54.88,SPEAKER_01
55.28,57.52,SPEAKER_01
57.84,64.08,SPEAKER_01
64.4,65.52,SPEAKER_01
65.76,67.6,SPEAKER_01
68.0,69.92,SPEAKER_01
70.16,72.56,SPEAKER_01
72.88,75.76,SPEAKER_01
76.16,78.24,SPEAKER_01
78.4,79.84,SPEAKER_01
80.08,82.0,SPEAKER_01
82.56,86.4,SPEAKER_00
86.96,87.92,SPEAKER_00
87.04,87.12,SPEAKER_01
88.24,90.48,SPEAKER_00
92.72,93.04,SPEAKER_01
93.44,98.08,SPEAKER_01
98.24,98.88,SPEAKER_01
99.36,101.68,SPEAKER_01
102.08,105.2,SPEAKER_01
105.92,107.44,SPEAKER_01
107.6,110.8,SPEAKER_01
111.04,113.28,SPEAKER_01
113.6,116.64,SPEAKER_01
117.12,119.84,SPEAKER_01
120.16,123.84,SPEAKER_01
124.24,127.6,SPEAKER_01
127.92,132.32,SPEAKER_01
132.56,135.92,SPEAKER_01
136.4,138.8,SPEAKER_01
139.12,140.8,SPEAKER_01
141.2,144.32,SPEAKER_01
144.8,147.44,SPEAKER_01
147.92,150.56,SPEAKER_01
151.12,154.72,SPEAKER_01
155.12,157.52,SPEAKER_01
158.0,160.72,SPEAKER_01
161.12,162.0,SPEAKER_01
161.84,162.0,SPEAKER_00
162.4,165.28,SPEAKER_01
165.36,167.36,SPEAKER_01
168.08,169.44,SPEAKER_00
169.52,174.32,SPEAKER_00
174.48,176.16,SPEAKER_00
176.72,178.16,SPEAKER_00
178.24,185.76,SPEAKER_00
188.0,192.96,SPEAKER_01
193.6,197.6,SPEAKER_01
198.32,199.68,SPEAKER_01
200.32,204.24,SPEAKER_01
204.88,206.0,SPEAKER_01
206.24,208.4,SPEAKER_01
208.8,210.72,SPEAKER_01
210.64,210.8,SPEAKER_02
211.6,213.04,SPEAKER_00
215.84,218.16,SPEAKER_01
218.56,222.16,SPEAKER_01
222.8,230.88,SPEAKER_01
231.04,232.0,SPEAKER_01
232.48,233.12,SPEAKER_01
233.68,237.6,SPEAKER_01
238.32,244.08,SPEAKER_00
244.24,254.96,SPEAKER_00
256.96,260.32,SPEAKER_01
260.88,264.96,SPEAKER_01
265.52,267.52,SPEAKER_01
267.84,268.64,SPEAKER_01
268.96,270.24,SPEAKER_01
270.72,272.96,SPEAKER_01
273.52,275.44,SPEAKER_01
276.0,278.8,SPEAKER_01
279.44,280.8,SPEAKER_01
280.96,282.48,SPEAKER_01
282.8,283.84,SPEAKER_01
284.24,288.16,SPEAKER_01
288.56,292.0,SPEAKER_01
290.56,290.88,SPEAKER_00
292.4,293.76,SPEAKER_01
294.16,300.07,SPEAKER_00
300.0,304.0,SPEAKER_00
304.32,308.4,SPEAKER_00
308.72,309.92,SPEAKER_00
310.0,310.48,SPEAKER_00
310.72,311.28,SPEAKER_00
312.48,313.04,SPEAKER_00
313.28,315.84,SPEAKER_00
314.0,314.24,SPEAKER_01
317.6,318.0,SPEAKER_01
318.4,319.84,SPEAKER_01
320.0,323.68,SPEAKER_01
324.16,324.88,SPEAKER_01
325.52,326.32,SPEAKER_01
326.88,330.72,SPEAKER_01
330.8,332.24,SPEAKER_01
332.96,334.08,SPEAKER_01
334.56,335.76,SPEAKER_01
336.24,339.84000000000003,SPEAKER_01
339.28,339.44,SPEAKER_00
340.32,341.36,SPEAKER_01
341.68,342.72,SPEAKER_01
343.28,344.88,SPEAKER_01
345.12,348.56,SPEAKER_01
349.04,351.2,SPEAKER_01
351.76,354.64,SPEAKER_01
355.04,356.48,SPEAKER_01
356.64,357.44,SPEAKER_01
358.0,360.56,SPEAKER_01
361.12,363.84000000000003,SPEAKER_01
363.92,364.8,SPEAKER_01
364.0,364.24,SPEAKER_00
365.2,368.24,SPEAKER_01
368.56,370.88,SPEAKER_01
371.28,371.84000000000003,SPEAKER_01
372.64,373.52,SPEAKER_01
373.92,375.28,SPEAKER_01
375.84000000000003,378.64,SPEAKER_01
379.04,380.48,SPEAKER_01
380.64,380.72,SPEAKER_01
380.96,382.8,SPEAKER_01
383.28,386.96,SPEAKER_01
384.48,384.8,SPEAKER_00
387.28,388.48,SPEAKER_01
388.88,390.15999999999997,SPEAKER_01
390.72,392.4,SPEAKER_01
392.8,394.64,SPEAKER_01
395.04,398.88,SPEAKER_01
396.4,396.72,SPEAKER_00
399.28,402.15999999999997,SPEAKER_01
400.88,401.12,SPEAKER_00
403.28,404.32,SPEAKER_00
404.4,407.68,SPEAKER_00
409.52,410.32,SPEAKER_01
411.44,412.4,SPEAKER_01
412.72,413.92,SPEAKER_01
414.72,418.0,SPEAKER_01
418.56,422.4,SPEAKER_01
420.88,421.04,SPEAKER_00
423.12,424.72,SPEAKER_01
425.28,428.08000000000004,SPEAKER_01
425.36,425.44,SPEAKER_00
428.48,429.44,SPEAKER_01
428.64,428.88,SPEAKER_00
430.24,433.12,SPEAKER_01
432.88,435.44,SPEAKER_00
435.68,438.88,SPEAKER_00
441.28,445.6,SPEAKER_01
446.08000000000004,446.24,SPEAKER_00
446.08000000000004,447.84000000000003,SPEAKER_01
448.24,449.03999999999996,SPEAKER_01
449.2,450.24,SPEAKER_01
450.56,450.96000000000004,SPEAKER_01
451.84000000000003,452.4,SPEAKER_01
452.88,454.56,SPEAKER_01
455.12,458.56,SPEAKER_01
459.28,461.2,SPEAKER_01
460.96000000000004,461.03999999999996,SPEAKER_00
461.52,462.4,SPEAKER_01
462.8,464.0,SPEAKER_01
464.56,465.76,SPEAKER_01
466.15999999999997,467.03999999999996,SPEAKER_01
467.68,469.84000000000003,SPEAKER_00
470.4,472.24,SPEAKER_00
472.72,482.96000000000004,SPEAKER_00
483.12,486.48,SPEAKER_00
486.64,487.12,SPEAKER_00
487.44,489.03999999999996,SPEAKER_00
490.96000000000004,494.32,SPEAKER_01
494.72,497.2,SPEAKER_01
497.44,501.36,SPEAKER_01
497.52,497.84000000000003,SPEAKER_00
501.6,504.24,SPEAKER_01
504.64,506.88,SPEAKER_01
507.03999999999996,509.84000000000003,SPEAKER_01
510.96000000000004,511.28,SPEAKER_00
512.88,519.04,SPEAKER_00
519.2,520.4,SPEAKER_00
522.96,525.84,SPEAKER_01
526.48,529.44,SPEAKER_01
530.16,532.88,SPEAKER_01
532.4,532.48,SPEAKER_00
532.96,534.16,SPEAKER_01
534.48,535.28,SPEAKER_01
534.56,534.88,SPEAKER_00
535.6,537.04,SPEAKER_01
537.6800000000001,539.6,SPEAKER_01
539.84,542.88,SPEAKER_01
543.52,544.56,SPEAKER_01
545.2,547.6,SPEAKER_01
548.16,550.88,SPEAKER_01
548.24,549.52,SPEAKER_00
551.36,556.4,SPEAKER_00
557.04,557.76,SPEAKER_00
557.6,557.6800000000001,SPEAKER_01
558.64,558.8,SPEAKER_01
559.52,564.1600000000001,SPEAKER_01
563.28,563.36,SPEAKER_00
565.44,566.0,SPEAKER_00
566.3199999999999,572.3199999999999,SPEAKER_00
572.4,576.0,SPEAKER_00
576.24,577.76,SPEAKER_00
579.76,581.9200000000001,SPEAKER_01
582.48,583.8399999999999,SPEAKER_01
584.24,586.8,SPEAKER_01
587.28,589.2,SPEAKER_01
589.76,590.4,SPEAKER_01
590.88,594.0,SPEAKER_01
594.3199999999999,596.56,SPEAKER_01
597.12,599.04,SPEAKER_01
599.52,600.0699999999999,SPEAKER_01
600.0,601.36,SPEAKER_00
601.68,603.68,SPEAKER_00
604.16,608.0,SPEAKER_00
608.48,610.32,SPEAKER_00
611.04,613.44,SPEAKER_00
613.84,616.08,SPEAKER_00
616.72,619.92,SPEAKER_00
620.4,622.16,SPEAKER_00
622.56,626.72,SPEAKER_00
627.04,628.56,SPEAKER_00
628.96,631.36,SPEAKER_00
631.84,632.96,SPEAKER_00
633.28,634.96,SPEAKER_00
634.72,634.88,SPEAKER_01
635.44,637.44,SPEAKER_00
637.68,639.04,SPEAKER_00
640.0,640.32,SPEAKER_01
640.96,644.96,SPEAKER_01
645.6,648.88,SPEAKER_01
651.04,654.16,SPEAKER_00
654.48,657.04,SPEAKER_00
657.52,659.76,SPEAKER_00
660.32,662.32,SPEAKER_00
662.72,665.84,SPEAKER_00
666.56,667.92,SPEAKER_00
668.24,669.92,SPEAKER_00
670.48,673.6,SPEAKER_00
674.16,676.48,SPEAKER_00
677.12,679.84,SPEAKER_00
680.48,682.0,SPEAKER_00
682.4,684.88,SPEAKER_00
685.36,687.2,SPEAKER_00
687.6,688.8,SPEAKER_00
688.64,688.72,SPEAKER_01
689.92,693.04,SPEAKER_01
693.28,694.88,SPEAKER_01
695.04,697.6,SPEAKER_01
697.84,701.28,SPEAKER_01
701.6800000000001,702.48,SPEAKER_01
702.64,706.72,SPEAKER_01
707.04,708.64,SPEAKER_01
709.12,713.12,SPEAKER_01
713.36,714.56,SPEAKER_01
716.24,719.12,SPEAKER_00
719.2,721.44,SPEAKER_00
721.92,722.64,SPEAKER_00
723.12,724.88,SPEAKER_00
724.96,725.12,SPEAKER_00
725.44,727.76,SPEAKER_00
728.08,730.24,SPEAKER_00
730.72,733.92,SPEAKER_00
734.16,734.4,SPEAKER_00
734.56,736.16,SPEAKER_00
736.88,740.72,SPEAKER_00
741.44,742.72,SPEAKER_00
742.96,746.24,SPEAKER_00
747.04,751.12,SPEAKER_01
751.52,754.0,SPEAKER_01
754.24,758.08,SPEAKER_01
759.84,760.4,SPEAKER_00
